,Country,GDP(constant dollars),Rank,Years
0,USA,20529.5,1,1960 - 2021
1,China,15801.9,2,1960 - 2021
2,Japan,4435.4,3,1960 - 2021
3,Germany,3554.7,4,1970 - 2021
4,UK,3036.5,5,1960 - 2021
5,India,2726.4,6,1960 - 2021
6,France,2577.6,7,1960 - 2021
7,Italy,1862.3,8,1960 - 2021
8,Brazil,1829.9,9,1960 - 2021
9,South Korea,1693.6,10,1960 - 2021
10,Canada,1680.4,11,1997 - 2021
11,Australia,1524.4,12,1960 - 2021
12,Russia,1490.2,13,1989 - 2021
13,Spain,1238.8,14,1960 - 2021
14,Mexico,1206.9,15,1960 - 2021
15,Turkey,1131,16,1960 - 2021
16,Indonesia,1065.6,17,1960 - 2021
17,Netherlands,846.9,18,1960 - 2021
18,Switzerland,760.2,19,1980 - 2021
19,Saudi Arabia,672.1,20,1968 - 2021
20,Poland,598.3,21,1990 - 2021
21,Argentina,568.1,22,1960 - 2021
22,Sweden,565.2,23,1960 - 2021
23,Nigeria,518.5,24,1960 - 2021
24,Belgium,497.4,25,1960 - 2021
25,Iran,469.9,26,1960 - 2021
26,Ireland,447.8,27,1970 - 2021
27,Thailand,438.5,28,1960 - 2021
28,Egypt,426,29,1960 - 2021
29,Norway,419.2,30,1960 - 2021
30,Austria,405.1,31,1960 - 2021
31,UA Emirates,398.4,32,1975 - 2021
32,Israel,382.1,33,1995 - 2021
33,Philippines,379,34,1960 - 2021
34,Singapore,360.9,35,1960 - 2021
35,Malaysia,355.1,36,1960 - 2021
36,South Africa,353.3,37,1960 - 2021
37,Denmark,341.8,38,1960 - 2021
38,Pakistan,341.1,39,1960 - 2021
39,Vietnam,332.3,40,1984 - 2021
40,Colombia,330.6,41,1960 - 2021
41,Hong Kong,329.7,42,1961 - 2021
42,Bangladesh,285.3,43,1960 - 2021
43,Chile,275.2,44,1960 - 2021
44,Finland,256.5,45,1960 - 2021
45,Romania,220.7,46,1990 - 2021
46,Peru,217,47,1960 - 2021
47,Portugal,215.1,48,1960 - 2021
48,Kazakhstan,214.7,49,1990 - 2021
49,Czechia,211,50,1990 - 2021
50,New Zealand,207,51,1977 - 2021
51,Greece,201.2,52,1960 - 2021
52,Iraq,183.9,53,1968 - 2021
53,Algeria,174.2,54,1960 - 2021
54,Qatar,164,55,2000 - 2021
55,Hungary,150.7,56,1991 - 2021
56,Morocco,123.9,57,1966 - 2021
57,Uzbekistan,116.2,58,1987 - 2021
58,Ukraine,101.5,59,1987 - 2021
59,Ethiopia,100.4,60,1981 - 2021
60,Slovakia,99,61,1992 - 2021
61,Ecuador,97.8,62,1960 - 2021
62,Sri Lanka,97,63,1961 - 2021
63,Domin. Rep.,93.5,64,1960 - 2021
64,Puerto Rico,92.4,65,1960 - 2021
65,Kenya,90.4,66,1960 - 2021
66,Oman,82.7,67,1965 - 2021
67,Sudan,79.7,68,1960 - 2021
68,Angola,79.3,69,1980 - 2021
69,Guatemala,75.1,70,1960 - 2021
70,Burma,70.9,71,1961 - 2021
71,Luxembourg,69,72,1960 - 2021
72,Costa Rica,66.5,73,1960 - 2021
73,Ghana,66.1,74,1960 - 2021
74,Ivory Coast,65.3,75,1960 - 2021
75,Tanzania,64.2,76,1988 - 2021
76,Libya,60.9,77,1999 - 2021
77,Panama,60.6,78,1960 - 2021
78,Belarus,59.9,79,1990 - 2021
79,Bulgaria,59.4,80,1980 - 2021
80,Croatia,59.1,81,1995 - 2021
81,Uruguay,54.4,82,1960 - 2021
82,Azerbaijan,54.2,83,1990 - 2021
83,Slovenia,52.2,84,1995 - 2021
84,Lithuania,51.1,85,1995 - 2021
85,Serbia,48.6,86,1995 - 2021
86,DR Congo,48.1,87,1960 - 2021
87,Tunisia,47,88,1965 - 2021
88,Jordan,42.2,89,1976 - 2021
89,Uganda,42.2,90,1982 - 2021
90,Paraguay,42,91,1960 - 2021
91,Cameroon,39,92,1960 - 2021
92,Bolivia,37,93,1960 - 2021
93,Lebanon,34.1,94,1988 - 2021
94,Bahrain,34,95,1980 - 2021
95,Latvia,31.3,96,1995 - 2021
96,Nepal,31.1,97,1960 - 2021
97,Estonia,28.9,98,1995 - 2021
98,Macao,27.9,99,1982 - 2021
99,El Salvador,26.1,100,1965 - 2021
100,Cyprus,25.5,101,1975 - 2021
101,Honduras,25,102,1960 - 2021
102,Zambia,24.5,103,1960 - 2021
103,Senegal,24.2,104,1960 - 2021
104,Papua N.G.,24,105,1960 - 2021
105,Cambodia,23.7,106,1993 - 2021
106,Tr.&Tobago,21.6,107,1960 - 2021
107,Zimbabwe,20.6,108,1960 - 2021
108,Iceland,20.3,109,1995 - 2021
109,Bosnia & Herz.,19.2,110,1994 - 2021
110,Laos,19.1,111,1984 - 2021
111,Mozambique,18.4,112,1980 - 2021
112,Georgia,18.3,113,1965 - 2021
113,Afghanistan,17.1,114,2002 - 2021
114,Botswana,16.5,115,1960 - 2021
115,Burkina Faso,16.3,116,1960 - 2021
116,Mali,16.3,117,1967 - 2021
117,Benin,15.8,118,1960 - 2021
118,Gabon,15.4,119,1960 - 2021
119,Palestine,15,120,1994 - 2021
120,Haiti,14.7,121,1960 - 2021
121,Malta,14.5,122,1970 - 2021
122,Jamaica,14.1,123,1966 - 2021
123,Nicaragua,14.1,124,1960 - 2021
124,Mongolia,13.7,125,1981 - 2021
125,Albania,13.6,126,1980 - 2021
126,Brunei,13.2,127,1974 - 2021
127,Guinea,13.2,128,1986 - 2021
128,Madagascar,12.8,129,1960 - 2021
129,Niger,12.8,130,1960 - 2021
130,Armenia,12.6,131,1990 - 2021
131,Tajikistan,12.5,132,1985 - 2021
132,Mauritius,12.3,133,1976 - 2021
133,Rwanda,12,134,1960 - 2021
134,Bahamas,10.9,135,1960 - 2021
135,North Macedonia,10.9,136,1990 - 2021
136,Namibia,10.6,137,1980 - 2021
137,Chad,10.2,138,1960 - 2021
138,Moldova,9.7,139,1995 - 2021
139,Eq. Guinea,9.5,140,1980 - 2021
140,R. of Congo,8.8,141,1960 - 2021
141,Guyana,8.7,142,1960 - 2021
142,Malawi,7.7,143,1960 - 2021
143,Kyrgyzstan,7.5,144,1986 - 2021
144,Monaco,7.5,145,1970 - 2021
145,Mauritania,7.4,146,1961 - 2021
146,Somalia,7.3,147,2013 - 2021
147,Bermuda,6.7,148,1960 - 2021
148,Togo,5.5,149,1960 - 2021
149,Sierra Leone,5.2,150,1960 - 2021
150,Maldives,5.1,151,1995 - 2021
151,Swaziland,4.7,152,1970 - 2021
152,Montenegro,4.6,153,1997 - 2021
153,Suriname,4.3,154,1960 - 2021
154,Barbados,4.2,155,1974 - 2021
